ID	Fc1_3h	Fc2_3h	Fc3_3h	Fc1_24h	Fc2_24h	Fc3_24h	Fh1_3h	Fh2_3h	Fh3_3h	Fh1_24h	Fh2_24h	Fh3_24h	Mc1_3h	Mc2_3h	Mc3_3h	Mc1_24h	Mc2_24h	Mc3_24h	Mh1_3h	Mh2_3h	Mh3_3h	Mh1_24h	Mh2_24h	Mh3_24h
OG0002616	12.62142462	12.25657433	12.56404705	12.62903553	12.68823064	12.84163314	12.01020289	11.99832951	11.99832951	12.22026042	12.20987673	12.14289841	11.24284363	11.33008272	11.51680656	11.43766002	11.44714472	11.29196897	10.84239985	10.55278051	10.67412252	10.76583555	10.40017392	10.30166881
OG0002960	12.51498275	12.17412674	12.53027464	12.07331482	12.01963242	11.90918056	10.90749159	10.83913685	10.83913685	11.22334411	11.00920579	10.93085559	10.61434728	10.67679895	10.85386469	10.87491144	10.76618186	10.58086341	9.616822287	9.62789114	9.656751265	10.07536951	9.869423424	9.753309694
OG0002771	12.44136987	12.16358678	12.65386391	12.19458759	12.23887342	12.30978896	11.13489473	11.19051301	11.19051301	11.79624245	11.61695311	11.51462037	11.18266251	11.21324338	11.50562897	11.42641468	11.35375444	11.25397745	10.45142338	10.23698523	10.4291933	10.18291199	9.808853998	9.651501297
OG0003081	12.37318599	12.08174306	12.39668237	12.11192137	12.03372927	12.05863781	11.15192349	11.15553611	11.15553611	11.74534659	11.45730392	11.42921842	10.37775605	10.25385339	10.70243418	10.58573999	10.32053432	10.34500487	10.27334221	9.788237082	10.0935166	9.805497545	9.563201421	9.343855486
OG0002311	12.31427734	12.00444521	12.34554385	11.91273219	12.05513667	11.95493419	11.12065909	10.97522104	10.97522104	11.34697904	11.29157363	11.11208759	11.36446628	11.43738121	11.59633048	11.60024373	11.51791736	11.39472688	10.70633542	10.4518437	10.51289055	11.03917542	10.73540032	10.58456608
OG0002186	12.15694578	11.7893747	12.15568789	11.88464371	11.93705376	11.89118372	11.10183783	11.08170978	11.08170978	11.5526739	11.4358265	11.34962403	11.0365205	11.07308582	11.27950728	10.71732856	10.879571	10.88266139	10.55969638	10.36722362	10.31325152	10.2074988	9.992873208	9.952567851
OG0001319	12.13128787	11.88214245	11.73638925	12.52052538	12.57381521	12.49504553	12.520901	12.47325801	12.47325801	12.20911519	12.59756842	12.48790282	5.578083104	5.448814413	4.624400986	3.145372256	4.07766942	4.499078584	5.39800279	5.434822019	5.444181361	2.883470674	4.039463052	4.914138253
OG0000048	12.12671738	12.26756798	12.22702021	11.76536899	11.68965298	11.67939213	10.91711843	10.87330953	10.87330953	11.10981107	11.03801359	11.13695908	8.572769186	8.77859069	8.511755421	7.923572916	8.205072333	8.310322396	9.05073567	9.191609037	9.120128472	8.480658949	8.501281093	8.631796208
OG0002735	12.1067036	11.67451891	11.96126519	11.85255682	11.81857019	11.79428183	10.61801836	10.66282412	10.66282412	11.21694588	11.07957145	11.00956272	11.07587219	11.1358061	11.26833438	11.26395869	11.26096127	11.17099348	10.45454195	10.45028234	10.4836314	10.52677601	10.33922871	10.19908951
OG0002810	12.10330092	11.9002102	12.11617499	11.77162564	11.76824223	11.64173116	10.89995352	10.82269032	10.82269032	11.28872768	11.20413093	11.10654985	11.17199926	11.19734326	11.39052099	10.98016529	11.1212421	11.14719093	10.33769994	10.32880954	10.35367836	10.51177143	10.30190654	10.18116593
