FID	CN1	CN2	CN3	CS1	CS2	CS3	DW1	DW2	DW3
129-3	0.57 	0.67 	0.62 	4.5 	4.6 	4.4 	0.77 	0.88 	0.66 
129-4	0.04 	0.07 	0.06 	5.9 	6.1 	5.8 	0.77 	0.83 	0.73 
129-5	0.66 	0.71 	0.68 	4.5 	4.6 	4.4 	1.12 	1.24 	1.06 
130-1	0.38 	0.40 	0.39 	4.0 	4.1 	3.8 	0.44 	0.48 	0.36 
130-2	0.22 	0.29 	0.25 	4.9 	5.1 	4.7 	0.70 	0.74 	0.61 
130-3	0.46 	0.48 	0.47 	3.7 	3.9 	3.5 	0.81 	0.92 	0.71 
131-1	0.34 	0.43 	0.39 	5.5 	5.7 	5.3 	0.27 	0.35 	0.26 
131-2	0.60 	0.64 	0.62 	5.1 	5.1 	5.1 	0.87 	0.89 	0.82 
131-3	0.58 	0.67 	0.62 	5.7 	5.8 	5.5 	1.09 	1.10 	0.99 
131-4	1.09 	1.18 	1.13 	4.7 	4.9 	4.5 	1.03 	1.14 	0.99 
132-1	1.01 	1.10 	1.06 	4.4 	4.6 	4.2 	1.20 	1.30 	1.11 
133-1	1.20 	1.29 	1.24 	4.5 	4.7 	4.4 	0.67 	0.76 	0.57 
133-2	1.11 	1.17 	1.14 	4.6 	4.6 	4.5 	0.88 	0.90 	0.78 
133-3	0.85 	0.88 	0.86 	4.8 	5.0 	4.7 	0.43 	0.46 	0.30 
133-4	0.62 	0.72 	0.67 	5.6 	5.8 	5.4 	0.82 	0.89 	0.71 
134-1	0.69 	0.75 	0.72 	4.8 	5.0 	4.7 	0.23 	0.30 	0.12 
134-2	1.26 	1.27 	1.26 	4.2 	4.3 	4.1 	1.08 	1.15 	0.99 
134-3	0.90 	0.96 	0.93 	4.5 	4.6 	4.4 	0.77 	0.82 	0.74 
134-4	1.13 	1.15 	1.14 	4.2 	4.3 	4.1 	1.22 	1.27 	1.09 
134-5	0.56 	0.60 	0.58 	5.1 	5.3 	4.9 	1.11 	1.17 	1.01 
134-6	1.12 	1.14 	1.13 	4.4 	4.5 	4.4 	0.65 	0.71 	0.58 
135-1	0.97 	1.04 	1.00 	4.7 	4.7 	4.7 	0.73 	0.81 	0.60 
135-2	0.97 	0.98 	0.98 	4.7 	4.7 	4.7 	0.68 	0.72 	0.64 
135-3	0.98 	1.04 	1.01 	4.8 	4.8 	4.8 	0.86 	0.89 	0.75 
135-4	1.24 	1.34 	1.29 	4.7 	4.7 	4.6 	1.71 	1.83 	1.59 
135-5	0.61 	0.69 	0.65 	4.2 	4.3 	4.1 	0.63 	0.75 	0.63 
136-1	0.61 	0.62 	0.62 	6.0 	6.1 	5.9 	0.80 	0.82 	0.72 
165-1	0.79 	0.81 	0.80 	4.3 	4.3 	4.3 	0.79 	0.90 	0.72 
167-1	0.76 	0.79 	0.77 	5.3 	5.3 	5.3 	0.83 	0.94 	0.72 
167-2	1.07 	1.11 	1.09 	4.3 	4.5 	4.2 	0.97 	1.02 	0.89 
167-3	0.81 	0.88 	0.85 	5.2 	5.3 	5.1 	0.23 	0.23 	0.11 
167-4	1.20 	1.29 	1.24 	4.5 	4.7 	4.4 	0.82 	0.88 	0.75 
167-5	0.61 	0.66 	0.64 	4.6 	4.7 	4.4 	0.46 	0.46 	0.33 
167-6	0.35 	0.39 	0.37 	5.5 	5.7 	5.3 	0.43 	0.55 	0.34 
174-1	1.05 	1.08 	1.07 	4.0 	4.1 	3.9 	0.64 	0.66 	0.57 
174-2	1.21 	1.26 	1.23 	4.1 	4.3 	3.9 	0.73 	0.75 	0.65 
174-3	1.07 	1.15 	1.11 	4.6 	4.6 	4.6 	0.53 	0.53 	0.50 
175-1	1.02 	1.09 	1.06 	4.9 	5.1 	4.7 	0.30 	0.33 	0.20 
175-2	1.34 	1.35 	1.35 	4.6 	4.7 	4.5 	0.37 	0.37 	0.36 
175-3	0.83 	0.88 	0.86 	5.2 	5.2 	5.2 	0.70 	0.83 	0.68 
176-1	1.06 	1.10 	1.08 	4.9 	5.1 	4.7 	1.04 	1.07 	1.04 
177-1	0.66 	0.75 	0.71 	4.5 	4.5 	4.5 	1.08 	1.21 	0.99 
178-1	0.87 	0.94 	0.91 	4.4 	4.6 	4.3 	0.56 	0.62 	0.43 
179-1	0.65 	0.69 	0.67 	4.4 	4.5 	4.3 	0.59 	0.67 	0.47 
179-2	0.86 	0.87 	0.86 	5.0 	5.2 	4.8 	0.52 	0.54 	0.42 
181-1	0.88 	0.90 	0.89 	4.5 	4.6 	4.4 	0.56 	0.68 	0.45 
182-1	0.96 	1.00 	0.98 	4.6 	4.6 	4.6 	0.68 	0.69 	0.60 
182-2	1.23 	1.29 	1.26 	4.6 	4.8 	4.5 	0.98 	0.99 	0.98 
182-3	0.89 	0.90 	0.90 	5.1 	5.2 	4.9 	0.54 	0.63 	0.49 
182-4	0.46 	0.48 	0.47 	5.5 	5.5 	5.5 	0.16 	0.18 	0.08 
183-4	0.77 	0.79 	0.78 	5.2 	5.2 	5.2 	0.52 	0.56 	0.41 
184-1	1.20 	1.28 	1.24 	4.9 	5.1 	4.7 	0.61 	0.63 	0.51 
184-2	0.45 	0.52 	0.48 	4.8 	4.8 	4.8 	0.57 	0.62 	0.44 
184-3	0.74 	0.83 	0.78 	4.5 	4.7 	4.4 	0.82 	0.95 	0.77 
184-4	0.85 	0.90 	0.87 	4.7 	4.8 	4.7 	0.50 	0.56 	0.41 
184-5	0.86 	0.88 	0.87 	6.0 	6.2 	5.9 	0.42 	0.53 	0.36 
185-2	0.73 	0.74 	0.74 	4.7 	4.7 	4.7 	0.59 	0.71 	0.56 
186-1	1.14 	1.16 	1.15 	4.4 	4.5 	4.3 	1.63 	1.63 	1.55 
186-2	0.73 	0.74 	0.74 	4.8 	4.9 	4.6 	0.38 	0.41 	0.31 
186-3	0.90 	0.94 	0.92 	4.7 	4.8 	4.6 	1.02 	1.12 	0.91 
187-1	0.90 	1.00 	0.95 	4.5 	4.6 	4.5 	0.92 	1.05 	0.81 
187-5	1.21 	1.25 	1.23 	4.6 	4.6 	4.6 	0.38 	0.48 	0.37 
187-6	0.87 	0.93 	0.90 	4.6 	4.8 	4.5 	0.52 	0.58 	0.48 
187-7	1.02 	1.05 	1.04 	4.6 	4.8 	4.5 	0.63 	0.68 	0.55 
187-9	0.47 	0.48 	0.47 	5.3 	5.5 	5.1 	0.81 	0.87 	0.75 
188-2	0.92 	0.99 	0.96 	4.2 	4.3 	4.1 	0.82 	0.85 	0.75 
188-3	0.98 	1.01 	1.00 	4.5 	4.5 	4.5 	0.54 	0.56 	0.50 
188-4	0.79 	0.82 	0.80 	4.5 	4.5 	4.5 	0.59 	0.66 	0.52 
189-1	1.10 	1.14 	1.12 	4.1 	4.1 	4.1 	0.73 	0.85 	0.67 
189-3	0.67 	0.74 	0.70 	4.6 	4.8 	4.5 	1.00 	1.04 	0.99 
189-4	1.07 	1.14 	1.11 	4.6 	4.7 	4.5 	0.98 	1.09 	0.90 
190-1	1.16 	1.19 	1.17 	4.4 	4.5 	4.4 	0.67 	0.73 	0.63 
190-3	0.72 	0.74 	0.73 	5.6 	5.7 	5.5 	1.33 	1.35 	1.29 
190-4	1.01 	1.02 	1.02 	5.3 	5.5 	5.1 	1.53 	1.54 	1.49 
190-5	1.01 	1.05 	1.03 	4.6 	4.6 	4.6 	0.43 	0.56 	0.34 
19-1	0.90 	0.91 	0.90 	4.4 	4.5 	4.2 	0.81 	0.90 	0.75 
191-1	1.04 	1.09 	1.06 	4.1 	4.2 	4.0 	0.54 	0.63 	0.49 
191-2	1.01 	1.05 	1.03 	4.3 	4.4 	4.2 	0.67 	0.76 	0.59 
191-3	1.12 	1.13 	1.13 	4.5 	4.7 	4.4 	1.09 	1.19 	1.08 
192-1	1.43 	1.48 	1.45 	4.4 	4.6 	4.2 	0.99 	1.11 	0.97 
